crowdedness,dhall,datetime
7,BK,2019-05-05 18:09:47.538002
4,BR,2019-05-05 18:09:47.538003
5,GH,2019-05-05 18:09:47.538004
6,DC,2019-05-05 18:09:47.538005
5,MC,2019-05-05 18:09:47.539006
5,JE,2019-05-05 18:09:47.539007
5,PC,2019-05-05 18:09:47.539008
4,SM,2019-05-05 18:09:47.539009
4,TD,2019-05-05 18:09:47.539010
3,SY,2019-05-05 18:09:47.539011
4,ES,2019-05-05 18:09:47.539012
5,TC,2019-05-05 18:09:47.540013
4,BF,2019-05-05 18:09:47.540014
4,MY,2019-05-05 18:09:47.540015
6,BK,2019-05-05 18:18:42.073002
4,JE,2019-05-05 18:18:42.075007
6,PC,2019-05-05 18:18:42.076008
3,TD,2019-05-05 18:18:42.076010
6,TC,2019-05-05 18:18:42.077013
5,DC,2019-05-05 18:20:14.058077
5,PC,2019-05-05 18:20:14.063080
4,TD,2019-05-05 18:20:14.064082
5,TC,2019-05-05 18:20:14.067085
4,BK,2019-05-05 19:03:33.739002
2,BR,2019-05-05 19:03:33.740003
3,GH,2019-05-05 19:03:33.740004
2,DC,2019-05-05 19:03:33.741005
6,MC,2019-05-05 19:03:33.741006
3,JE,2019-05-05 19:03:33.741007
4,PC,2019-05-05 19:03:33.741008
2,SM,2019-05-05 19:03:33.742009
3,TD,2019-05-05 19:03:33.742010
2,SY,2019-05-05 19:03:33.742011
2,ES,2019-05-05 19:03:33.742012
4,TC,2019-05-05 19:03:33.743013
2,BF,2019-05-05 19:03:33.743014
2,MY,2019-05-05 19:03:33.743015
0,BK,2019-05-05 20:38:00.720002
0,BR,2019-05-05 20:38:00.721003
0,GH,2019-05-05 20:38:00.721004
0,DC,2019-05-05 20:38:00.721005
0,MC,2019-05-05 20:38:00.721006
0,JE,2019-05-05 20:38:00.722007
0,PC,2019-05-05 20:38:00.722008
0,SM,2019-05-05 20:38:00.722009
0,TD,2019-05-05 20:38:00.722010
0,SY,2019-05-05 20:38:00.723011
0,ES,2019-05-05 20:38:00.723012
0,TC,2019-05-05 20:38:00.723013
0,BF,2019-05-05 20:38:00.723014
0,MY,2019-05-05 20:38:00.723015
1,BK,2019-05-06 08:02:39.350003
2,BR,2019-05-06 08:02:39.350004
1,GH,2019-05-06 08:02:39.351005
1,MC,2019-05-06 08:02:39.352007
1,JE,2019-05-06 08:02:39.353008
1,PC,2019-05-06 08:02:39.354009
2,SM,2019-05-06 08:02:39.354010
1,SY,2019-05-06 08:02:39.356012
1,ES,2019-05-06 08:02:39.356013
1,TC,2019-05-06 08:02:39.357014
2,MY,2019-05-06 08:02:39.358016
2,BK,2019-05-06 08:16:48.712002
3,BR,2019-05-06 08:16:48.712003
2,GH,2019-05-06 08:16:48.713004
1,DC,2019-05-06 08:16:48.714005
1,TD,2019-05-06 08:16:48.716010
2,SY,2019-05-06 08:16:48.716011
1,BF,2019-05-06 08:16:48.718014
2,TD,2019-05-06 08:24:44.923010
2,MC,2019-05-06 08:26:51.373006
3,GH,2019-05-06 08:48:40.346005
2,PC,2019-05-06 08:48:40.347009
3,SM,2019-05-06 08:48:40.347010
3,SY,2019-05-06 08:48:40.347012
2,ES,2019-05-06 08:48:40.347013
2,BF,2019-05-06 08:53:57.063014
2,SM,2019-05-06 08:55:52.503009
1,BF,2019-05-06 08:55:52.505014
1,PC,2019-05-06 09:03:06.552008
2,BR,2019-05-06 09:10:19.164002
2,DC,2019-05-06 09:10:19.166004
2,SY,2019-05-06 09:10:19.169010
1,ES,2019-05-06 09:20:13.406012
2,TC,2019-05-06 09:20:13.407013
2,GH,2019-05-06 09:26:46.896004
2,ES,2019-05-06 09:26:46.904012
1,TC,2019-05-06 09:26:46.905013
2,BF,2019-05-06 09:26:46.906014
1,BF,2019-05-06 09:34:44.398015
1,MY,2019-05-06 09:34:44.398016
2,MY,2019-05-06 09:37:26.448015
1,DC,2019-05-06 09:44:51.484005
2,PC,2019-05-06 09:48:16.684008
3,SM,2019-05-06 09:48:16.685009
3,SY,2019-05-06 09:48:16.687011
2,SM,2019-05-06 09:52:02.818008
2,BF,2019-05-06 09:52:02.822013
2,DC,2019-05-06 09:56:22.841006
3,SM,2019-05-06 09:56:22.844010
1,BF,2019-05-06 09:56:22.847015
1,DC,2019-05-06 10:01:54.802005
1,PC,2019-05-06 10:10:48.194008
3,BR,2019-05-06 10:16:42.555003
2,JE,2019-05-06 10:16:42.557007
2,PC,2019-05-06 10:16:42.558008
2,TC,2019-05-06 10:16:42.560013
5,BK,2019-05-06 10:21:55.244002
2,BR,2019-05-06 10:21:55.245003
3,GH,2019-05-06 10:21:55.246004
3,DC,2019-05-06 10:21:55.246005
5,MC,2019-05-06 10:21:55.247006
4,JE,2019-05-06 10:21:55.248007
3,PC,2019-05-06 10:21:55.248008
4,TD,2019-05-06 10:21:55.249010
2,SY,2019-05-06 10:21:55.250011
4,ES,2019-05-06 10:21:55.250012
3,TC,2019-05-06 10:21:55.250013
3,BF,2019-05-06 10:21:55.251014
3,MY,2019-05-06 10:21:55.252015
2,BK,2019-05-06 10:22:47.151002
3,BR,2019-05-06 10:22:47.152003
2,GH,2019-05-06 10:22:47.152004
2,DC,2019-05-06 10:22:47.152005
2,MC,2019-05-06 10:22:47.152006
2,JE,2019-05-06 10:22:47.152007
2,PC,2019-05-06 10:22:47.152008
2,SM,2019-05-06 10:22:47.152009
2,TD,2019-05-06 10:22:47.153010
3,SY,2019-05-06 10:22:47.153011
2,ES,2019-05-06 10:22:47.153012
1,TC,2019-05-06 10:22:47.153013
1,BF,2019-05-06 10:22:47.153014
2,MY,2019-05-06 10:22:47.153015
1,DC,2019-05-06 10:26:03.055006
2,SY,2019-05-06 10:26:03.059012
2,TC,2019-05-06 10:26:03.060014
5,BK,2019-05-06 10:30:56.743002
2,BR,2019-05-06 10:30:56.743003
3,GH,2019-05-06 10:30:56.744004
3,DC,2019-05-06 10:30:56.744005
4,MC,2019-05-06 10:30:56.744006
3,JE,2019-05-06 10:30:56.745007
3,PC,2019-05-06 10:30:56.745008
3,SM,2019-05-06 10:30:56.745009
5,TD,2019-05-06 10:30:56.746010
3,ES,2019-05-06 10:30:56.746012
4,TC,2019-05-06 10:30:56.747013
3,BF,2019-05-06 10:30:56.747014
3,MY,2019-05-06 10:30:56.747015
2,DC,2019-05-06 10:31:30.496059
2,PC,2019-05-06 10:31:30.500062
4,TD,2019-05-06 10:31:30.502064
5,TC,2019-05-06 10:31:30.504067
4,BF,2019-05-06 10:31:30.505068
2,BK,2019-05-06 10:33:50.722003
3,BR,2019-05-06 10:33:50.722004
2,GH,2019-05-06 10:33:50.722005
1,DC,2019-05-06 10:33:50.722006
2,MC,2019-05-06 10:33:50.722007
2,JE,2019-05-06 10:33:50.723008
1,PC,2019-05-06 10:33:50.723009
2,SM,2019-05-06 10:33:50.723010
2,TD,2019-05-06 10:33:50.723011
3,SY,2019-05-06 10:33:50.723012
2,ES,2019-05-06 10:33:50.724013
2,TC,2019-05-06 10:33:50.724014
1,BF,2019-05-06 10:33:50.724015
2,MY,2019-05-06 10:33:50.724016
2,SY,2019-05-06 10:36:13.831011
3,SY,2019-05-06 10:41:34.044011
2,BR,2019-05-06 10:46:33.319003
1,MC,2019-05-06 10:46:33.321006
1,TD,2019-05-06 10:46:33.322010
2,SY,2019-05-06 10:46:33.323011
1,TC,2019-05-06 10:46:33.323013
1,GH,2019-05-06 10:50:34.668004
1,SM,2019-05-06 10:50:34.670009
2,TC,2019-05-06 10:50:34.671013
1,MY,2019-05-06 10:50:34.672015
1,ES,2019-05-06 10:57:36.221012
1,BR,2019-05-06 11:02:44.056004
1,SY,2019-05-06 11:02:44.062012
