date,date_int,hall_id,name,is_weekend,is_family_dinner,start,end,average_occupancy,max_occupancy
2019-05-07,7,DC,Breakfast,0,0,08:00,10:30,0.9265564445555555,4
2019-05-07,7,GH,Breakfast,0,0,08:00,11:00,1.8335428694444444,4
2019-05-07,7,JE,Breakfast,0,0,08:00,11:00,1.3132316667592594,5
2019-05-07,7,PC,Breakfast,0,0,08:00,11:00,1.0167515731481482,4
2019-05-07,7,TC,Breakfast,0,0,08:00,11:00,1.4371840721296296,4
2019-05-07,7,TD,Breakfast,0,0,08:00,11:00,1.678070924814815,9
2019-05-07,7,DC,Lunch,0,0,11:00,13:30,2.980885776333333,4
2019-05-07,7,BF,Lunch,0,0,11:30,13:30,3.4736779197222223,6
2019-05-07,7,BK,Lunch,0,0,11:30,13:30,5.103104729999999,7
2019-05-07,7,BR,Lunch,0,0,11:30,13:30,1.9618866656944445,3
2019-05-07,7,ES,Lunch,0,0,11:30,13:30,3.0376938836111114,5
2019-05-07,7,GH,Lunch,0,0,11:30,14:30,2.9946610178703703,4
2019-05-07,7,JE,Lunch,0,0,11:30,13:30,3.10659084,5
2019-05-07,7,MC,Lunch,0,0,11:30,13:30,3.590408886666667,5
2019-05-07,7,MY,Lunch,0,0,11:30,13:30,2.7389911049999998,4
2019-05-07,7,PC,Lunch,0,0,11:30,13:30,2.560537358888889,4
2019-05-07,7,SM,Lunch,0,0,11:30,13:30,3.2275148574999997,5
2019-05-07,7,SY,Lunch,0,0,11:30,13:30,1.9342824984722222,3
2019-05-07,7,TC,Lunch,0,0,11:30,15:00,2.7122454745238094,4
2019-05-07,7,TD,Lunch,0,0,11:30,13:30,4.861071801111112,9
2019-05-07,7,BF,Dinner,0,0,17:00,19:30,2.839740221111111,4
2019-05-07,7,BK,Dinner,0,0,17:00,19:30,4.71218655688889,7
2019-05-07,7,BR,Dinner,0,0,17:00,19:30,1.7716913404444443,3
2019-05-07,7,DC,Dinner,0,0,17:00,19:30,2.623630444666666,5
2019-05-07,7,ES,Dinner,0,0,17:00,20:00,3.263132314444445,5
2019-05-07,7,GH,Dinner,0,0,17:00,19:30,2.911996774666667,4
2019-05-07,7,JE,Dinner,0,0,17:00,19:30,2.7115855548888885,4
2019-05-07,7,MC,Dinner,0,0,17:00,20:00,3.091062408055555,4
2019-05-07,7,MY,Dinner,0,0,17:00,19:30,2.521172441222222,4
2019-05-07,7,PC,Dinner,0,0,17:00,19:30,3.200808776666667,5
2019-05-07,7,SM,Dinner,0,0,17:00,19:30,2.520725109111111,4
2019-05-07,7,SY,Dinner,0,0,17:00,19:30,2.066376220777778,4
2019-05-07,7,TC,Dinner,0,0,17:00,19:30,2.632213220444444,5
2019-05-07,7,TD,Dinner,0,0,17:00,19:30,2.9781924507777777,4
2019-05-08,8,BR,Breakfast,0,0,07:30,10:30,1.5711783325925925,2
2019-05-08,8,ES,Breakfast,0,0,07:30,10:30,1.3041962948148147,2
2019-05-08,8,MC,Breakfast,0,0,07:30,10:30,1.4280348135185186,2
2019-05-08,8,MY,Breakfast,0,0,07:30,10:30,1.571177774814815,2
2019-05-08,8,SM,Breakfast,0,0,07:30,10:30,1.3757309239814814,2
2019-05-08,8,SY,Breakfast,0,0,07:30,10:30,1.4539670349074074,3
2019-05-08,8,BF,Breakfast,0,0,08:00,11:00,0.9701208268518519,2
2019-05-08,8,BK,Breakfast,0,0,08:00,11:00,1.1388568512037036,2
2019-05-08,8,DC,Breakfast,0,0,08:00,10:30,1.114478888222222,2
2019-05-08,8,GH,Breakfast,0,0,08:00,11:00,1.7175866660185188,3
2019-05-08,8,JE,Breakfast,0,0,08:00,11:00,1.1833268460185187,2
2019-05-08,8,PC,Breakfast,0,0,08:00,11:00,1.0129478646296297,2
2019-05-08,8,TC,Breakfast,0,0,08:00,11:00,1.1692797157407406,2
2019-05-08,8,TD,Breakfast,0,0,08:00,11:00,1.1859659144444445,3
2019-05-08,8,DC,Lunch,0,0,11:00,13:30,1.7242438874444443,3
2019-05-08,8,BF,Lunch,0,0,11:30,13:30,2.5696623573611115,4
2019-05-08,8,BK,Lunch,0,0,11:30,13:30,3.7965080545833336,6
2019-05-08,8,BR,Lunch,0,0,11:30,13:30,1.138978055,2
2019-05-08,8,ES,Lunch,0,0,11:30,13:30,2.7050326322222222,5
2019-05-08,8,GH,Lunch,0,0,11:30,14:30,2.2296139808333333,3
2019-05-08,8,JE,Lunch,0,0,11:30,13:30,2.429353331527778,4
2019-05-08,8,MC,Lunch,0,0,11:30,13:30,3.0493888859722222,4
2019-05-08,8,MY,Lunch,0,0,11:30,13:30,3.0015509662500004,4
2019-05-08,8,PC,Lunch,0,0,11:30,13:30,2.6512612480555555,4
2019-05-08,8,SM,Lunch,0,0,11:30,13:30,2.377791107638889,3
2019-05-08,8,SY,Lunch,0,0,11:30,13:30,1.5731373583333335,2
2019-05-08,8,TC,Lunch,0,0,11:30,15:00,2.4892621407936506,4
2019-05-08,8,TD,Lunch,0,0,11:30,13:30,4.174355550277777,7
2019-05-08,8,BK,Dinner,0,0,17:00,19:30,5.944204893999999,9
2019-05-08,8,BR,Dinner,0,0,17:00,19:30,2.8166362208888893,4
2019-05-08,8,SM,Dinner,0,0,17:00,19:30,2.4591774427777784,4
2019-05-08,8,SY,Dinner,0,0,17:00,19:30,1.9356701085555559,3
2019-05-08,8,TD,Dinner,0,0,17:00,19:30,2.209910441,3
2019-05-19,19,SM,Lunch,1,0,11:00,13:30,0.18168544344444446,1
2019-05-26,26,MC,Dinner,1,1,17:00,19:00,4.016627913194444,5
2019-05-27,27,MC,Breakfast,0,0,07:30,10:30,1.1682622212962963,4
2019-05-27,27,MC,Lunch,0,0,11:30,13:30,4.070674580972222,8
2019-05-27,27,MC,Dinner,0,0,17:00,20:00,3.8288513882407407,6
2019-05-28,28,MC,Breakfast,0,0,07:30,10:30,2.4873752753703706,4
2019-05-28,28,MC,Lunch,0,0,11:30,13:30,4.087439999583333,7
2019-05-28,28,MC,Dinner,0,0,17:00,20:00,3.9978555533333338,8
2019-05-29,29,MC,Breakfast,0,0,07:30,10:30,1.4989725925925927,4
2019-05-29,29,MC,Lunch,0,0,11:30,13:30,2.5245852756944442,5
2019-05-29,29,MC,Dinner,0,0,17:00,20:00,3.6779242557407406,5
2019-05-30,30,MC,Breakfast,0,0,07:30,10:30,1.1594674069444444,3
2019-05-30,30,MC,Lunch,0,0,11:30,13:30,3.290829025694444,6
2019-05-30,30,MC,Dinner,0,0,17:00,20:00,11.99970064527778,7
2019-06-01,32,ES,Breakfast,1,0,08:00,10:30,0.965891666,3
2019-06-01,32,MC,Breakfast,1,0,08:00,10:30,4.109748441111111,10
2019-06-01,32,ES,Lunch,1,0,11:00,13:30,1.4328621082222222,5
2019-06-01,32,MC,Lunch,1,0,11:00,13:30,4.0697315538888885,9
2019-06-01,32,ES,Dinner,1,0,17:00,19:00,2.000036520138889,5
2019-06-01,32,MC,Dinner,1,0,17:00,19:00,2.6025020802777776,4
2019-06-02,33,ES,Breakfast,1,0,08:00,10:30,0.9426733326666666,3
2019-06-02,33,MC,Breakfast,1,0,08:00,10:30,1.5380561095555556,3
