"","DATE","date_int","hall_id","name","is_family_dinner","start","end","average_occupancy","max_occupancy","PRCP","TMAX","TMIN"
"65","2019-05-06",6,"SM","Lunch",0,"11:00","13:30",2.86576031277778,5,0.05,70,51
"66","2019-05-06",6,"SY","Lunch",0,"11:00","13:30",2.45829287611111,4,0.05,70,51
"67","2019-05-06",6,"TC","Lunch",0,"11:00","13:30",3.38469286544444,6,0.05,70,51
"68","2019-05-06",6,"TD","Lunch",0,"11:00","13:30",4.09908365744444,9,0.05,70,51
"69","2019-05-06",6,"BF","Dinner",0,"17:00","19:30",3.04497621966667,5,0.05,70,51
"70","2019-05-06",6,"BK","Dinner",0,"17:00","19:30",6.06323178444444,10,0.05,70,51
"71","2019-05-06",6,"DC","Lunch",0,"11:00","13:30",2.91442921688889,4,0.05,70,51
"72","2019-05-06",6,"ES","Lunch",0,"11:00","13:30",2.71922053388889,5,0.05,70,51
"73","2019-05-06",6,"DC","Dinner",0,"17:00","19:30",3.71489433222222,6,0.05,70,51
"74","2019-05-06",6,"ES","Dinner",0,"17:00","19:30",3.311106107,4,0.05,70,51
"75","2019-05-06",6,"GH","Dinner",0,"17:00","19:30",3.18531688788889,5,0.05,70,51
"76","2019-05-06",6,"JE","Dinner",0,"17:00","19:30",3.28517355388889,6,0.05,70,51
"77","2019-05-06",6,"MC","Dinner",0,"17:00","19:30",3.38104533788889,5,0.05,70,51
"78","2019-05-06",6,"MY","Dinner",0,"17:00","19:30",2.85054344077778,4,0.05,70,51
"79","2019-05-06",6,"PC","Dinner",0,"17:00","19:30",2.98368555377778,4,0.05,70,51
"80","2019-05-06",6,"SM","Dinner",0,"17:00","19:30",2.83359488733333,4,0.05,70,51
"81","2019-05-06",6,"SY","Dinner",0,"17:00","19:30",2.56717544322222,4,0.05,70,51
"82","2019-05-06",6,"TC","Dinner",0,"17:00","19:30",2.85848199711111,4,0.05,70,51
"83","2019-05-06",6,"TD","Dinner",0,"17:00","19:30",2.74368033811111,5,0.05,70,51
"84","2019-05-06",6,"BR","Dinner",0,"17:00","19:30",2.27848066622222,4,0.05,70,51
"85","2019-05-07",7,"TD","Dinner",0,"17:00","19:30",2.97819245077778,4,0,67,49
"86","2019-05-07",7,"BK","Breakfast",0,"08:00","11:00",1.49281777833333,7,0,67,49
"87","2019-05-07",7,"DC","Breakfast",0,"08:00","11:00",0.93879703712963,4,0,67,49
"88","2019-05-07",7,"ES","Breakfast",0,"08:00","11:00",1.75594953583333,4,0,67,49
"89","2019-05-07",7,"GH","Breakfast",0,"08:00","11:00",1.83354286944444,4,0,67,49
"90","2019-05-07",7,"JE","Breakfast",0,"08:00","11:00",1.31323166675926,5,0,67,49
"91","2019-05-07",7,"MC","Breakfast",0,"08:00","11:00",1.6767739812037,5,0,67,49
"92","2019-05-07",7,"MY","Breakfast",0,"08:00","11:00",1.88760962694444,4,0,67,49
"93","2019-05-07",7,"PC","Breakfast",0,"08:00","11:00",1.01675157314815,4,0,67,49
"94","2019-05-07",7,"SM","Breakfast",0,"08:00","11:00",1.76661601888889,5,0,67,49
"95","2019-05-07",7,"SY","Breakfast",0,"08:00","11:00",1.75800240481481,3,0,67,49
"96","2019-05-07",7,"TC","Breakfast",0,"08:00","11:00",1.43718407212963,4,0,67,49
"97","2019-05-07",7,"TD","Breakfast",0,"08:00","11:00",1.67807092481481,9,0,67,49
"98","2019-05-07",7,"BF","Lunch",0,"11:00","13:30",2.77894233577778,6,0,67,49
"99","2019-05-07",7,"BR","Breakfast",0,"08:00","11:00",2.09613268462963,3,0,67,49
"100","2019-05-07",7,"BR","Lunch",0,"11:00","13:30",1.72022655466667,3,0,67,49
"101","2019-05-07",7,"DC","Lunch",0,"11:00","13:30",2.98088577633333,4,0,67,49
"102","2019-05-07",7,"ES","Lunch",0,"11:00","13:30",2.43015510688889,5,0,67,49
"103","2019-05-07",7,"GH","Lunch",0,"11:00","13:30",2.73394544255556,4,0,67,49
"104","2019-05-07",7,"JE","Lunch",0,"11:00","13:30",2.485272672,5,0,67,49
"105","2019-05-07",7,"MC","Lunch",0,"11:00","13:30",2.87232710933333,5,0,67,49
"106","2019-05-07",7,"MY","Lunch",0,"11:00","13:30",2.289672995,4,0,67,49
"107","2019-05-07",7,"PC","Lunch",0,"11:00","13:30",2.04842988711111,4,0,67,49
"108","2019-05-07",7,"SM","Lunch",0,"11:00","13:30",2.582011886,5,0,67,49
"109","2019-05-07",7,"SY","Lunch",0,"11:00","13:30",1.66390244955556,3,0,67,49
"110","2019-05-07",7,"TC","Lunch",0,"11:00","13:30",2.78937033722222,4,0,67,49
"111","2019-05-07",7,"TD","Lunch",0,"11:00","13:30",4.14183777433333,9,0,67,49
"112","2019-05-07",7,"BK","Lunch",0,"11:00","13:30",4.29905556166667,7,0,67,49
"113","2019-05-07",7,"BR","Dinner",0,"17:00","19:30",1.77169134044444,3,0,67,49
"114","2019-05-07",7,"DC","Dinner",0,"17:00","19:30",2.62363044466667,5,0,67,49
"115","2019-05-07",7,"ES","Dinner",0,"17:00","19:30",3.52945088822222,5,0,67,49
"116","2019-05-07",7,"GH","Dinner",0,"17:00","19:30",2.91199677466667,4,0,67,49
"117","2019-05-07",7,"JE","Dinner",0,"17:00","19:30",2.71158555488889,4,0,67,49
"118","2019-05-07",7,"MC","Dinner",0,"17:00","19:30",3.280268,4,0,67,49
"119","2019-05-07",7,"MY","Dinner",0,"17:00","19:30",2.52117244122222,4,0,67,49
"120","2019-05-07",7,"PC","Dinner",0,"17:00","19:30",3.20080877666667,5,0,67,49
"121","2019-05-07",7,"SM","Dinner",0,"17:00","19:30",2.52072510911111,4,0,67,49
"122","2019-05-07",7,"SY","Dinner",0,"17:00","19:30",2.06637622077778,4,0,67,49
"123","2019-05-07",7,"TC","Dinner",0,"17:00","19:30",2.63221322044444,5,0,67,49
"124","2019-05-07",7,"BF","Breakfast",0,"08:00","11:00",0.964369536388889,5,0,67,49
"125","2019-05-07",7,"BF","Dinner",0,"17:00","19:30",2.83974022111111,4,0,67,49
"126","2019-05-07",7,"BK","Dinner",0,"17:00","19:30",4.71218655688889,7,0,67,49
"127","2019-05-08",8,"BF","Breakfast",0,"08:00","11:00",0.970120826851852,2,0,70,49
"128","2019-05-08",8,"DC","Breakfast",0,"08:00","11:00",1.11326480916667,2,0,70,49
"129","2019-05-08",8,"ES","Breakfast",0,"08:00","11:00",1.47397082657407,2,0,70,49
"130","2019-05-08",8,"GH","Breakfast",0,"08:00","11:00",1.71758666601852,3,0,70,49
"131","2019-05-08",8,"JE","Breakfast",0,"08:00","11:00",1.18332684601852,2,0,70,49
"132","2019-05-08",8,"MC","Breakfast",0,"08:00","11:00",1.75308424842593,3,0,70,49
"133","2019-05-08",8,"MY","Breakfast",0,"08:00","11:00",1.85497211759259,3,0,70,49
"134","2019-05-08",8,"PC","Breakfast",0,"08:00","11:00",1.01294786462963,2,0,70,49
"135","2019-05-08",8,"SM","Breakfast",0,"08:00","11:00",1.65641786407407,2,0,70,49
"136","2019-05-08",8,"SY","Breakfast",0,"08:00","11:00",1.68778842472222,3,0,70,49
"137","2019-05-08",8,"TC","Breakfast",0,"08:00","11:00",1.16927971574074,2,0,70,49
"138","2019-05-08",8,"TD","Breakfast",0,"08:00","11:00",1.18596591444444,3,0,70,49
"139","2019-05-08",8,"BK","Breakfast",0,"08:00","11:00",1.1388568512037,2,0,70,49
"140","2019-05-08",8,"BR","Breakfast",0,"08:00","11:00",1.88664546731481,2,0,70,49
"141","2019-05-08",8,"BR","Lunch",0,"11:00","13:30",1.33808699955556,2,0,70,49
"142","2019-05-08",8,"DC","Lunch",0,"11:00","13:30",1.72424388744444,3,0,70,49
"143","2019-05-08",8,"ES","Lunch",0,"11:00","13:30",2.16402610577778,5,0,70,49
"144","2019-05-08",8,"GH","Lunch",0,"11:00","13:30",2.104963666,3,0,70,49
"145","2019-05-08",8,"JE","Lunch",0,"11:00","13:30",1.94348266522222,4,0,70,49
"146","2019-05-08",8,"MC","Lunch",0,"11:00","13:30",2.43951110877778,4,0,70,49
"147","2019-05-08",8,"MY","Lunch",0,"11:00","13:30",2.401240773,4,0,70,49
"148","2019-05-08",8,"PC","Lunch",0,"11:00","13:30",2.12100899844444,4,0,70,49
"149","2019-05-08",8,"SM","Lunch",0,"11:00","13:30",1.90223288611111,3,0,70,49
"150","2019-05-08",8,"SY","Lunch",0,"11:00","13:30",1.25850988666667,2,0,70,49
"151","2019-05-08",8,"TC","Lunch",0,"11:00","13:30",1.85048155266667,4,0,70,49
"152","2019-05-08",8,"BF","Lunch",0,"11:00","13:30",2.05572988588889,4,0,70,49
"153","2019-05-08",8,"BK","Lunch",0,"11:00","13:30",3.33374822155556,6,0,70,49
"154","2019-05-08",8,"BR","Dinner",0,"17:00","19:30",2.81663622088889,4,0,70,49
"155","2019-05-08",8,"SM","Dinner",0,"17:00","19:30",2.45917744277778,4,0,70,49
"156","2019-05-08",8,"SY","Dinner",0,"17:00","19:30",1.93567010855556,3,0,70,49
"157","2019-05-08",8,"TD","Dinner",0,"17:00","19:30",2.209910441,3,0,70,49
"158","2019-05-08",8,"TD","Lunch",0,"11:00","13:30",3.33948444022222,7,0,70,49
"159","2019-05-08",8,"BK","Dinner",0,"17:00","19:30",5.944204894,9,0,70,49
"160","2019-05-19",19,"SM","Lunch",0,"11:00","13:30",0.181685443444444,1,0,74,53
"161","2019-05-26",26,"MC","Dinner",1,"17:00","19:30",3.70037210966667,5,0.05,81,59
"162","2019-05-27",27,"MC","Breakfast",0,"08:00","11:00",1.48230083287037,4,0,81,60
