crowdedness,dhall,datetime
0,TC,2019-05-05 01:19:48.555012
0,BF,2019-05-05 01:19:48.555013
0,PM,2019-05-05 01:19:48.555014
0,BK,2019-05-05 01:20:18.820001
0,BR,2019-05-05 01:20:18.820002
0,GH,2019-05-05 01:20:18.820003
0,DC,2019-05-05 01:20:18.821004
0,MC,2019-05-05 01:20:18.821005
0,JE,2019-05-05 01:20:18.821006
0,PC,2019-05-05 01:20:18.822007
0,SM,2019-05-05 01:20:18.822008
0,TD,2019-05-05 01:20:18.822009
0,SY,2019-05-05 01:20:18.822010
0,ES,2019-05-05 01:20:18.823011
0,TC,2019-05-05 01:20:18.823012
0,BF,2019-05-05 01:20:18.823013
0,PM,2019-05-05 01:20:18.823014
0,BK,2019-05-05 01:21:32.836001
0,BR,2019-05-05 01:21:32.836002
0,GH,2019-05-05 01:21:32.836003
0,DC,2019-05-05 01:21:32.836004
0,MC,2019-05-05 01:21:32.837005
0,JE,2019-05-05 01:21:32.837006
0,PC,2019-05-05 01:21:32.837007
0,SM,2019-05-05 01:21:32.837008
0,TD,2019-05-05 01:21:32.837009
0,SY,2019-05-05 01:21:32.838010
0,ES,2019-05-05 01:21:32.838011
0,TC,2019-05-05 01:21:32.838012
0,BF,2019-05-05 01:21:32.839013
0,PM,2019-05-05 01:21:32.839014
0,BK,2019-05-05 01:22:02.268001
0,BR,2019-05-05 01:22:02.269002
0,GH,2019-05-05 01:22:02.269003
0,DC,2019-05-05 01:22:02.269004
0,MC,2019-05-05 01:22:02.270005
0,JE,2019-05-05 01:22:02.270006
0,PC,2019-05-05 01:22:02.270007
0,SM,2019-05-05 01:22:02.270008
0,TD,2019-05-05 01:22:02.271009
0,SY,2019-05-05 01:22:02.271010
0,ES,2019-05-05 01:22:02.271011
0,TC,2019-05-05 01:22:02.271012
0,BF,2019-05-05 01:22:02.272013
0,PM,2019-05-05 01:22:02.272014
0,BK,2019-05-05 01:27:16.900001
0,BR,2019-05-05 01:27:16.900002
0,GH,2019-05-05 01:27:16.900003
0,DC,2019-05-05 01:27:16.901004
0,MC,2019-05-05 01:27:16.901005
0,JE,2019-05-05 01:27:16.902006
0,PC,2019-05-05 01:27:16.902007
0,SM,2019-05-05 01:27:16.902008
0,TD,2019-05-05 01:27:16.903009
0,SY,2019-05-05 01:27:16.903010
0,ES,2019-05-05 01:27:16.903011
0,TC,2019-05-05 01:27:16.903012
0,BF,2019-05-05 01:27:16.904013
0,PM,2019-05-05 01:27:16.904014
0,BK,2019-05-05 01:27:25.387002
0,BR,2019-05-05 01:27:25.388003
0,GH,2019-05-05 01:27:25.388004
0,DC,2019-05-05 01:27:25.389005
0,MC,2019-05-05 01:27:25.389006
0,JE,2019-05-05 01:27:25.389007
0,PC,2019-05-05 01:27:25.390008
0,SM,2019-05-05 01:27:25.390009
0,TD,2019-05-05 01:27:25.390010
0,SY,2019-05-05 01:27:25.390011
0,ES,2019-05-05 01:27:25.390012
0,TC,2019-05-05 01:27:25.391013
0,BF,2019-05-05 01:27:25.391014
0,PM,2019-05-05 01:27:25.391015
0,BK,2019-05-05 01:27:27.544002
0,BR,2019-05-05 01:27:27.545003
0,GH,2019-05-05 01:27:27.545004
0,DC,2019-05-05 01:27:27.545005
0,MC,2019-05-05 01:27:27.546006
0,JE,2019-05-05 01:27:27.546007
0,PC,2019-05-05 01:27:27.546008
0,SM,2019-05-05 01:27:27.546009
0,TD,2019-05-05 01:27:27.546010
0,SY,2019-05-05 01:27:27.547011
0,ES,2019-05-05 01:27:27.547012
0,TC,2019-05-05 01:27:27.547013
0,BF,2019-05-05 01:27:27.547014
0,PM,2019-05-05 01:27:27.547015
0,BK,2019-05-05 01:27:48.639001
0,BR,2019-05-05 01:27:48.639002
0,GH,2019-05-05 01:27:48.640003
0,DC,2019-05-05 01:27:48.640004
0,MC,2019-05-05 01:27:48.640005
0,JE,2019-05-05 01:27:48.640006
0,PC,2019-05-05 01:27:48.641007
0,SM,2019-05-05 01:27:48.641008
0,TD,2019-05-05 01:27:48.641009
0,SY,2019-05-05 01:27:48.641010
0,ES,2019-05-05 01:27:48.642011
0,TC,2019-05-05 01:27:48.642012
0,BF,2019-05-05 01:27:48.642013
0,PM,2019-05-05 01:27:48.643014
0,BK,2019-05-05 01:28:52.206001
0,BR,2019-05-05 01:28:52.206002
0,GH,2019-05-05 01:28:52.207003
0,DC,2019-05-05 01:28:52.207004
0,MC,2019-05-05 01:28:52.208005
0,JE,2019-05-05 01:28:52.208006
0,PC,2019-05-05 01:28:52.208007
0,SM,2019-05-05 01:28:52.209008
0,TD,2019-05-05 01:28:52.209009
0,SY,2019-05-05 01:28:52.209010
0,ES,2019-05-05 01:28:52.210011
0,TC,2019-05-05 01:28:52.210012
0,BF,2019-05-05 01:28:52.211013
0,PM,2019-05-05 01:28:52.211014
0,BK,2019-05-05 01:28:59.314002
0,BR,2019-05-05 01:28:59.315003
0,GH,2019-05-05 01:28:59.315004
0,DC,2019-05-05 01:28:59.316005
0,MC,2019-05-05 01:28:59.316006
0,JE,2019-05-05 01:28:59.316007
0,PC,2019-05-05 01:28:59.317008
0,SM,2019-05-05 01:28:59.317009
0,TD,2019-05-05 01:28:59.317010
0,SY,2019-05-05 01:28:59.317011
0,ES,2019-05-05 01:28:59.317012
0,TC,2019-05-05 01:28:59.318013
0,BF,2019-05-05 01:28:59.318014
0,PM,2019-05-05 01:28:59.318015
0,BK,2019-05-05 01:29:08.064002
0,BR,2019-05-05 01:29:08.065003
0,GH,2019-05-05 01:29:08.065004
0,DC,2019-05-05 01:29:08.065005
